"","ADDRESS","METERID","ENERGY","Year","Month","Day_Month","Day_Year","Week_Day","Volume.m3.","Hours","Power.kW.","Flow.l.h.","Flow.T.ºC.","Return.T.ºC.","DHW.Flow.ºC.","SH.Flow.T.ºC.","SH.Ret.T.ºC.","Temperature","Wind.speed","Wind.direction","Irradiation.flux"
"203","Kummeli  15",10045,2224,2019,7,22,203,"MON",4966.36,9397,4.8,753,61.6921739130435,55.9721739130435,58.2460869565217,25.654347826087,37.7534782608696,18.9002346018478,2.25974728959058,190.418399488261,4223.57339303808
"190","Kummeli  15",10045,1902,2019,7,9,190,"TUE",4709.33,9085,13.3,1076,61.9145833333333,56.00375,58.4804166666667,24.9475,37.8675,13.4435051525347,4.02202937723264,100.238346040694,3969.64025200442
"52","Kummeli  15",10045,7350,2019,2,21,52,"THU",1805.57,5774,39.5,1335,72.54875,45.1679166666667,59.7245833333333,52.105,41.1175,-5.76037013557292,4.71851653179861,191.318962644625,2253.87828955817
"362","Kummeli  15",10045,6219,2019,12,28,362,"SAT",8453.09,13214,29.5,1524,64.2041666666667,45.9870833333333,59.8970833333333,42.7320833333333,34.8929166666667,-1.94213215164236,4.18881385222222,32.9648291835868,222.748624918667
"232","Kummeli  15",10045,2920,2019,8,20,232,"TUE",5561.9,10093,4.9,685,62.3934782608696,56.5221739130435,58.9408695652174,25.695652173913,38.3360869565217,17.768745133913,3.14461105803623,250.557591394928,5100.49347027392
"170","Kummeli  15",10045,1422,2019,6,19,170,"WED",4319.96,8605,4.9,729,62.09625,56.13375,58.5591666666667,26.11875,37.9095833333333,20.5872898583681,2.10289028111806,247.76779936934,7489.02852214842
"260","Kummeli  15",10045,3592,2019,9,17,260,"TUE",6001.93,10765,20.3,787,66.5858333333333,45.27,59.7283333333333,38.5679166666667,33.4191666666667,8.7333435799618,2.68274981542014,269.25378852451,2663.85200447458
"64","Kummeli  15",10045,7638,2019,3,5,64,"TUE",2104.61,6062,30.5,1001,71.21875,44.00375,59.67375,46.3645833333333,37.5333333333333,0.36174304759375,5.17240966353125,142.631917644503,987.720540224416
"220","Kummeli  15",10045,2632,2019,8,8,220,"THU",5325.1,9805,4.9,817,62.475652173913,56.8382608695652,59.1504347826087,25.0669565217391,38.5595652173913,16.3080422799275,1.84564206847464,180.508797013047,4426.38084527475
"186","Kummeli  15",10045,1806,2019,7,5,186,"FRI",4631.88,8989,4.7,736,61.7220833333333,56.4404166666667,58.5870833333333,25.6158333333333,37.8258333333333,11.4392407826042,3.5676235563368,209.317446783181,4012.05355646125
"140","Kummeli  15",10045,702,2019,5,20,140,"MON",3650.78,7885,6,937,63.1795833333333,53.5845833333333,58.4545833333333,28.6045833333333,27.8379166666667,21.3097457490278,2.63052164420833,158.589138351632,6960.50058115533
"336","Kummeli  15",10045,5545,2019,12,2,336,"MON",7684.33,12590,31.6,1003,68.6379166666667,43.42375,59.3345833333333,45.38,36.7058333333333,-1.71191190630903,3.40062953074653,254.537295826042,361.291896045083
"237","Kummeli  15",10045,3040,2019,8,25,237,"SUN",5659.76,10213,5,678,63.31625,56.425,59.1395833333333,25.55625,38.14375,17.2769842974306,1.62151706086806,252.213785592604,5430.95617274358
"114","Kummeli  15",10045,78,2019,4,24,114,"WED",3204.53,7261,12.1,584,66.315,50.195,59.4920833333333,31.295,28.945,16.2515687701736,2.55282816850347,141.688520297257,5837.32600400884
"249","Kummeli  15",10045,3328,2019,9,6,249,"FRI",5843.4,10501,4.8,519,65.3541666666667,56.5404166666667,59.8770833333333,25.8220833333333,38.1208333333333,15.3596218822917,3.999787748625,243.495800945139,3605.1605891995
"30","Kummeli  15",10045,6822,2019,1,30,30,"WED",1220.88,5246,23.3,753,71.7375,43.8158333333333,59.63,48.0333333333333,37.90625,-0.104082367128473,3.7596034653125,222.784152867708,508.2475229055
"94","Kummeli  15",10045,8357,2019,4,4,94,"THU",2808.95,6781,23.8,806,68.8054166666667,45.90625,59.8233333333333,37.3004166666667,32.2958333333333,7.73436896640972,2.58459843787153,170.866598389236,4964.91482222292
"326","Kummeli  15",10045,5282,2019,11,22,326,"FRI",7414.54,12350,27.7,993,68.6125,44.7533333333333,59.8704166666667,47.3179166666667,38.4729166666667,-1.71666159969444,2.83186204801042,160.176093408333,570.821428375
"136","Kummeli  15",10045,606,2019,5,16,136,"THU",3584.17,7789,16.2,715,66.2808333333333,49.0325,59.515,34.0004166666667,30.79375,12.4835015531354,3.18925176465278,69.1143433416667,7817.00644844325
"53","Kummeli  15",10045,7374,2019,2,22,53,"FRI",1835.67,5798,28.3,902,75.6241666666667,44.7629166666667,60.8645833333333,50.1429166666667,39.8079166666667,-6.05667987505208,3.50889237880556,186.166859976802,2319.00026479233
"38","Kummeli  15",10045,7014,2019,2,7,38,"THU",1445.12,5438,18.8,530,75.3583333333333,45.5041666666667,59.98875,50.3083333333333,40.0595833333333,-3.48324722240972,3.47762160602778,207.219355577431,458.043776591916
"338","Kummeli  15",10045,5593,2019,12,4,338,"WED",7746.15,12638,33.1,1254,68.1341666666667,43.3783333333333,58.81625,42.7845833333333,34.9583333333333,2.56974243642014,5.60956508066667,264.101297434375,146.085521127333
"22","Kummeli  15",10045,6630,2019,1,22,22,"TUE",1002.01,5054,38.6,756,89.5366666666667,49.1775,60.0670833333333,62.94625,47.085,-16.156036624375,1.605754562,213.429872807781,1129.10118387867
"272","Kummeli  15",10045,3912,2019,9,29,272,"SUN",6212.45,11053,16.8,480,70.7904761904762,43.9195238095238,59.0742857142857,37.9490476190476,33.5395238095238,11.0563071363889,2.61983423904762,201.867995521032,965.034743210167
"211","Kummeli  15",10045,2416,2019,7,30,211,"TUE",5146.41,9589,4.8,697,63.1554166666667,57.4404166666667,59.76875,26.4391666666667,38.8583333333333,12.6091375163611,2.40990990040278,135.125870794979,2622.93952910167
"87","Kummeli  15",10045,8190,2019,3,28,87,"THU",2663.16,6614,29.7,995,70.6316666666667,45.1404166666667,60.77,42.5158333333333,35.5966666666667,4.44119830990972,4.52211488219097,270.849459742014,3769.48824296333
"110","Kummeli  15",10045,8741,2019,4,20,110,"SAT",3136.86,7165,16.8,699,67.5625,47.6925,60.0604166666667,35.47625,31.7729166666667,9.81015979394445,3.18221654184722,75.0962900765486,6164.38671382925
