"","ADDRESS","METERID","ENERGY","Year","Month","Day_Month","Day_Year","Week_Day","Volume.m3.","Hours","Power.kW.","Flow.l.h.","Flow.T.ºC.","Return.T.ºC.","DHW.Flow.ºC.","SH.Flow.T.ºC.","SH.Ret.T.ºC.","Temperature","Wind.speed","Wind.direction","Irradiation.flux","Regresion_UV","Regresion_MV"
"153","Kummeli  15",10045,1014,2019,6,2,153,"SUN",3863.54,8197,6.7,588,64.6020833333333,51.8208333333333,58.9691666666667,28.7416666666667,27.3608333333333,14.235099514132,4.67402553713542,268.249618536458,4049.10292669158,11.5710377462701,11.3771427430725
"155","Kummeli  15",10045,1062,2019,6,4,155,"TUE",3894.75,8245,6.6,596,64.2270833333333,55.07625,59.0195833333333,26.0395833333333,33.24375,21.5635622526042,3.59821583720833,209.689060815278,8040.72520773783,3.71606273231442,4.28904567619726
"163","Kummeli  15",10045,1254,2019,6,12,163,"WED",4097.16,8437,4.2,1393,59.2470833333333,55.7204166666667,57.1904166666667,25.8075,37.5908333333333,18.2737119814931,4.51601903069097,73.8497265144097,7383.440647959,7.24227178889761,8.58370856873503
"165","Kummeli  15",10045,1302,2019,6,14,165,"FRI",4160.78,8485,4.3,1456,58.8258333333333,55.75875,57.0770833333333,25.7895833333333,37.9016666666667,18.1211899924653,3.20299251114583,260.939402305521,3269.2850976195,7.40575169671003,6.59383865344432
"177","Kummeli  15",10045,1590,2019,6,26,177,"WED",4464.47,8773,4.7,701,62.4029166666667,56.3025,58.7629166666667,26.54625,38.3083333333333,15.8799649996875,2.87654381703472,104.896434186583,1580.98778007042,9.80799715352364,9.33214598806108
"180","Kummeli  15",10045,1662,2019,6,29,180,"SAT",4518.68,8845,4.4,776,61.8716666666667,56.1704166666667,58.5375,26.08,38.1670833333333,14.7807732599861,4.23277970912153,289.753914498611,7055.725901826,10.9861601542816,11.406168900023
"183","Kummeli  15",10045,1734,2019,7,2,183,"TUE",4576.23,8917,4.3,750,61.8279166666667,56.1158333333333,58.4191666666667,26.19,37.9279166666667,16.092720139132,4.6598754020625,261.994364435764,6356.93342344442,9.57995665389007,9.92925965819674
"184","Kummeli  15",10045,1758,2019,7,3,184,"WED",4594.99,8941,5.2,648,62.2345833333333,56.2020833333333,58.6566666666667,25.8875,37.8875,13.1465530965972,5.83454860189583,284.387747488194,2954.66050244217,12.7377906133318,12.4120899588125
"216","Kummeli  15",10045,2504,2019,8,4,216,"SUN",5243.63,9709,4.8,851,62.245,56.68125,58.9795833333333,24.8629166666667,38.3191666666667,11.5754968314097,2.3610210449375,228.588263268826,5002.88843946742,14.4217191736534,14.4666184192508
"221","Kummeli  15",10045,2656,2019,8,9,221,"FRI",5345.37,9829,4.8,851,62.5008695652174,56.4391304347826,58.9434782608696,25.1465217391304,38.4747826086956,15.8204480440942,2.34362022259783,282.50293292983,3371.72385727917,9.87179009561473,8.9887809027875
"228","Kummeli  15",10045,2824,2019,8,16,228,"FRI",5482.84,9997,4.9,778,62.4445454545455,56.8290909090909,59.14,24.9709090909091,38.195,16.6176405114773,2.04875971210985,212.035433951667,5005.53499774275,9.01732345833011,8.80706066862819
"229","Kummeli  15",10045,2848,2019,8,17,229,"SAT",5502.72,10021,4.7,828,62.3009090909091,56.325,58.7772727272727,25.2595454545455,38.5454545454545,18.3232232889015,2.46387941513258,149.001467387121,5362.53514306983,7.18920334924251,7.32987191914752
